evidence_id,company,years_used,source_date,title,url,source_family,independence_class,evidence_type,quant_signal,role_in_model,additivity,overlap_risk,weight,note
oa_01,OpenAI,2023-2025,2026-02-12,OpenAI US House Select Committee Update,https://cdn.openai.com/pdf/045aa967-ee96-4a09-94ee-3098ddf6db2c/OpenAI-US-House-Select-Cmte-Update-%5B021226%5D.pdf,official_company,primary,company_total,0.2 GW in 2023; 0.6 GW in 2024; ~1.9 GW in 2025,anchor,replace_only,low,critical,This is the clean backbone for OpenAI historical years and overrides the weaker local site floor.
oa_02,OpenAI,2024-2029,2026-03-27,Epoch AI data centers,https://epoch.ai/data/data-centers,external_dataset,reference_dataset,site_floor,0.053 GW YE2024; 0.991 GW YE2025/current; 3.137 GW YE2026; 6.106 GW YE2027; 7.226 GW YE2028; 8.99 GW YE2029,lower_bound,site_additive_after_dedup,medium,critical,Epoch AI site registry rolled up into a single-user lower bound for later years.
oa_03,OpenAI,2026,2025-11-03,AWS and OpenAI announce multi-year strategic partnership,https://openai.com/index/aws-and-openai-partnership/,official_partner_provider,partner_primary,provider_capacity_commitment,hundreds of thousands of NVIDIA GPUs; all capacity targeted to deploy before end-2026,uplift,additive_candidate,high,high,"Useful as a 2026 ramp signal, but not safe to add one-for-one on top of Stargate umbrella claims."
oa_04,OpenAI,2026-2027,2025-09-24,"OpenAI, Oracle, and SoftBank expand Stargate with five new AI data center sites",https://group.softbank/en/news/press/20250924,official_joint_press,joint_primary,umbrella_platform_envelope,nearly 7 GW planned capacity; over 5.5 GW from newly described sites; path to 10 GW commitment,envelope,non_additive_envelope,high,high,"Strong directional evidence for scale, but explicitly not additive with sub-site or provider components."
oa_05,OpenAI,2026-2028,2025-09-22,OpenAI and NVIDIA announce strategic partnership,https://openai.com/index/openai-nvidia-systems-partnership/,official_partner_provider,partner_primary,hardware_supply_commitment,10 GW partnership; first 1 GW starts in H2 2026,uplift,additive_candidate,high,medium,"Useful timing evidence for 2026, but too overlap-heavy to stack broadly."
oa_06,OpenAI,2026-2028,2026-01-08,OpenAI partners with Cerebras,https://openai.com/index/cerebras-partnership/,official_partner_provider,partner_primary,provider_capacity_commitment,750 MW phased through 2028,uplift,additive_candidate,medium,medium,"Phased and partly independent of Stargate campuses, but still not fully additive without utilization timing."
oa_07,OpenAI,2026-2027,2025-10-17,OpenAI and SoftBank Group partner with SB Energy,https://openai.com/index/stargate-sb-energy-partnership/,official_partner_provider,partner_primary,site_power_commitment,1.2 GW initial buildout,uplift,additive_candidate,high,medium,"Important as a buildout lane, but likely overlaps with broader Stargate and site-level counts."
oa_08,OpenAI,2027,2025-09-18,Inside the world's most powerful AI datacenter,https://blogs.microsoft.com/blog/2025/09/18/inside-the-worlds-most-powerful-ai-datacenter/,host_operator,partner_primary,allocation_guardrail,"Fairwater powers OpenAI, Microsoft AI, Copilot, and other workloads",guardrail,support_only,low,high,Prevents assigning all Fairwater Wisconsin capacity to OpenAI in the single-number series.
oa_09,OpenAI,2026-2029,2025-10-27,OpenAI OSTP RFI response,https://cdn.openai.com/pdf/21b88bb5-10a3-4566-919d-f9a6b9c3e632/openai-ostp-rfi-oct-27-2025.pdf,official_company,primary,policy_submission_scale_signal,already announced capacity brings Stargate to nearly 7 GW planned; references Wisconsin grid-connected capacity,corroboration,support_only,high,medium,Useful as an internal consistency check on the Stargate trajectory rather than a separable MW source.
oa_10,OpenAI,2026-2029,2025-11-03,AP: Microsoft takes over part of Crusoe's Abilene data center project,https://apnews.com/article/ai-stargate-microsoft-openai-crusoe-oracle-f4f74c3a4617d8cfab5b933fc31ccc6e,independent_media,independent,orthogonal_capacity_check,Abilene / Oracle / Microsoft complex expected around 2.1 GW,orthogonal_check,support_only,low,medium,Independent evidence that the OpenAI/Oracle/Crusoe/Microsoft buildout is physically real and already very large.
oa_11,OpenAI,2026-2029,2025-06-30,Data Center Dynamics: OpenAI confirmed to be behind Oracle cloud deal,https://www.datacenterdynamics.com/en/news/openai-confirmed-to-be-behind-30bn-a-year-oracle-cloud-deal-45gw-expected-across-multiple-data-center-sites/,trade_media,independent,orthogonal_capacity_check,about 4.5 GW expected across multiple data center sites,orthogonal_check,support_only,medium,medium,Independent trade-press support that OpenAI's later-year footprint is multi-gigawatt even after de-duplication concerns.
an_01,Anthropic,2023,2023-02-03,Anthropic forges partnership with Google Cloud,https://www.prnewswire.com/news-releases/anthropic-forges-partnership-with-google-cloud-to-help-deliver-reliable-and-responsible-ai-301738512.html,wire_press_release,partner_primary,continuity_nonzero,partnership and cloud access in 2023,nonzero_proof,support_only,low,high,Part of the reason Anthropic cannot be zero in 2023.
an_02,Anthropic,2023-2024,2023-11-08,Cloud TPU v5e is generally available,https://cloud.google.com/blog/products/compute/announcing-cloud-tpu-v5e-in-ga,official_partner_provider,partner_primary,continuity_nonzero,Anthropic already using TPU v5e to scale Claude serving,nonzero_proof,support_only,low,high,Strong proof that Anthropic had meaningful Google-side compute before the site tracker saw it.
an_03,Anthropic,2023-2024,2024-11-19,CMA full text decision on Google / Anthropic,https://assets.publishing.service.gov.uk/media/676959bae6ff7c8a1fde9d33/Full_text_decision__.pdf,regulatory,independent,regulatory_continuity,Anthropic sourced compute from Google and Amazon in 2023,nonzero_proof,support_only,low,high,Important orthogonal proof that Anthropic had multi-cloud compute before the visible floor turns on.
an_04,Anthropic,2024-2025,2024-11-22,Powering the next generation of AI development with AWS,https://www.anthropic.com/news/anthropic-amazon-trainium,official_company,primary,platform_anchor,AWS as primary training partner; Project Rainier positioning,anchor,support_only,medium,high,Defines AWS as the primary Anthropic training lane heading into 2025.
an_05,Anthropic,2024-2025,2024-12-03,Claude 3.5 Haiku on AWS Trainium2 and model distillation,https://www.anthropic.com/news/trainium2-and-distillation,official_company,primary,quantitative_platform_anchor,hundreds of thousands of Trainium2 chips; >5x current-generation compute,anchor,support_only,medium,high,Crucial quantitative anchor that rules out tiny 2024 Anthropic numbers.
an_06,Anthropic,2025-2026,2025-11-03,AWS activates Project Rainier,https://www.aboutamazon.com/news/aws/aws-project-rainier-ai-trainium-chips-compute-cluster,official_partner_provider,partner_primary,platform_capacity,"nearly 500,000 live chips and >1 million by end-2025",anchor,support_only,medium,critical,Best hard AWS-side Anthropic scale anchor.
an_07,Anthropic,2026,2025-10-23,Expanding our use of Google Cloud TPUs and Services,https://www.anthropic.com/news/expanding-our-use-of-google-cloud-tpus-and-services,official_company,primary,platform_capacity,up to 1 million TPUs and well over 1 GW online in 2026,anchor,additive_candidate,medium,critical,Best direct Anthropic anchor for moving above the AWS-heavy visible floor in 2026.
an_08,Anthropic,2027-2028,2025-07-21,Build AI in America,https://www.anthropic.com/news/build-ai-in-america,official_company,primary,future_anchor,2 GW data centers for a single training run in 2027 and 5 GW in 2028,anchor,support_only,low,critical,This is the strongest late-year Anthropic anchor and prevents the series from falling back to the floor in 2028.
an_09,Anthropic,2027-2029,2025-12-17,Hut 8 Announces AI Infrastructure Partnership with Anthropic and Fluidstack,https://www.hut8.com/news-insights/press-releases/hut-8-announces-ai-infrastructure-partnership-with-anthropic-and-fluidstack,host_operator,partner_primary,site_capacity,"245 MW initial River Bend tranche, up to 2,295 MW broader pipeline",uplift,additive_candidate,medium,high,Supports further Anthropic growth beyond the 2027 floor.
an_10,Anthropic,2026-2029,2025-11-18,"Microsoft, NVIDIA and Anthropic announce strategic partnerships",https://blogs.microsoft.com/blog/2025/11/18/microsoft-nvidia-and-anthropic-announce-strategic-partnerships/,official_joint_press,joint_primary,provider_capacity_commitment,up to 1 GW additional Azure/NVIDIA capacity,uplift,additive_candidate,high,medium,"Important upside lane, but too overlap-sensitive to count fully in 2026 or 2027."
an_11,Anthropic,2026,2025-10-23,AP: Anthropic inks multibillion-dollar deal with Google for AI chips,https://apnews.com/article/275df9e291bbb361962dfc6ba868506c,independent_media,independent,orthogonal_capacity_check,up to 1 million TPUs and well over 1 GW in 2026,orthogonal_check,support_only,low,medium,Independent media corroboration of the official Google TPU announcement.
an_12,Anthropic,2027-2029,2025-12-17,Data Center Dynamics: Hut 8 signs 245MW capacity deal with Fluidstack,https://www.datacenterdynamics.com/en/news/hut-8-signs-245mw-capacity-deal-with-fluidstack-as-part-of-multi-gigawatt-partnership-with-anthropic/,trade_media,independent,orthogonal_site_check,245 MW initial River Bend capacity with optional additional capacity,orthogonal_check,support_only,low,medium,Independent trade-press corroboration that the River Bend lane is real and non-trivial.
an_13,Anthropic,2027-2029,2026-04-06,Anthropic expands partnership with Google and Broadcom for multiple gigawatts of next-generation compute,https://www.anthropic.com/news/google-broadcom-partnership-compute,official_company,primary,future_platform_capacity,multiple gigawatts of next-generation TPU capacity starting in 2027,anchor,additive_candidate,medium,critical,New direct Anthropic evidence that the Google lane expands materially again from 2027 onward; it strengthens the projected ramp more than the March 2026 current point.
sh_01,Shared,2026-2029,2025-08-28,SemiAnalysis Datacenter Industry Model,https://newsletter.semianalysis.com/p/datacenter-model,third_party_model,independent,industry_cross_check,"tracks datacenter capacity by hyperscaler, AI lab, site, and region",orthogonal_check,support_only,medium,low,Shared cross-check for both companies; not used as a numeric anchor.
