timeline_row_id,source_index,source_title,source_url
timeline__amazon_madison_mega_site__2026-09-18,1,expected completion by 2027,https://www.datacenterdynamics.com/en/news/aws-confirmed-as-company-behind-10bn-mississippi-data-center-development/
timeline__amazon_ridgeland__2027-09-21,1,expected completion by 2027,https://www.datacenterdynamics.com/en/news/aws-confirmed-as-company-behind-10bn-mississippi-data-center-development/
timeline__amazon_ridgeland__2027-09-21,2,permit review document,https://opc.deq.state.ms.us/get_doc.aspx?dt=eparat&id=1747289
timeline__anthropic_amazon_new_carlisle__2025-10-17,1,interview,https://www.youtube.com/watch?v=jwgW_gHI1Vs&t=220s
timeline__fluidstack_lake_mariner__2025-10-01,1,saying,https://investors.terawulf.com/news-events/press-releases/detail/126/terawulf-reports-third-quarter-2025-results
timeline__fluidstack_lake_mariner__2025-10-01,2,said,https://investors.terawulf.com/news-events/press-releases/detail/99/terawulf-to-deliver-over-70-mw-of-data-center
timeline__fluidstack_lake_mariner__2026-03-31,1,stated,https://investors.terawulf.com/news-events/press-releases/detail/132/terawulf-reports-fourth-quarter-and-full-year-2025-results
timeline__fluidstack_lake_mariner__2026-03-31,2,leased,https://investors.terawulf.com/news-events/press-releases/detail/99/terawulf-to-deliver-over-70-mw-of-data-center
timeline__fluidstack_lake_mariner__2026-05-31,1,stated,https://investors.terawulf.com/news-events/press-releases/detail/132/terawulf-reports-fourth-quarter-and-full-year-2025-results
timeline__fluidstack_lake_mariner__2026-05-31,2,leased,https://investors.terawulf.com/news-events/press-releases/detail/112/terawulf-signs-200-mw-10-year-ai-hosting-agreements-with
timeline__fluidstack_lake_mariner__2026-05-31,3,Google TPUs,https://www.datacenterdynamics.com/en/news/google-offers-its-tpus-to-ai-cloud-providers-report/
timeline__fluidstack_lake_mariner__2026-05-31,4,Anthropic,https://www.anthropic.com/news/anthropic-invests-50-billion-in-american-ai-infrastructure
timeline__fluidstack_lake_mariner__2026-10-31,1,stated,https://investors.terawulf.com/news-events/press-releases/detail/132/terawulf-reports-fourth-quarter-and-full-year-2025-results
timeline__fluidstack_lake_mariner__2026-10-31,2,leased,https://investors.terawulf.com/news-events/press-releases/detail/112/terawulf-signs-200-mw-10-year-ai-hosting-agreements-with
timeline__fluidstack_lake_mariner__2026-10-31,3,Google TPUs,https://www.datacenterdynamics.com/en/news/google-offers-its-tpus-to-ai-cloud-providers-report/
timeline__fluidstack_lake_mariner__2026-10-31,4,Anthropic,https://www.anthropic.com/news/anthropic-invests-50-billion-in-american-ai-infrastructure
timeline__fluidstack_lake_mariner__2027-03-31,1,stated,https://investors.terawulf.com/news-events/press-releases/detail/132/terawulf-reports-fourth-quarter-and-full-year-2025-results
timeline__fluidstack_lake_mariner__2027-03-31,2,leased,https://investors.terawulf.com/news-events/press-releases/detail/112/terawulf-signs-200-mw-10-year-ai-hosting-agreements-with
timeline__fluidstack_lake_mariner__2027-03-31,3,Google TPUs,https://www.datacenterdynamics.com/en/news/google-offers-its-tpus-to-ai-cloud-providers-report/
timeline__fluidstack_lake_mariner__2027-03-31,4,Anthropic,https://www.anthropic.com/news/anthropic-invests-50-billion-in-american-ai-infrastructure
timeline__microsoft_fairwater_atlanta__2025-10-14,1,operational,https://news.microsoft.com/source/features/ai/from-wisconsin-to-atlanta-microsoft-connects-datacenters-to-build-its-first-ai-superfactory/
timeline__microsoft_fairwater_atlanta__2025-10-14,2,are paired,https://blogs.microsoft.com/blog/2025/09/18/inside-the-worlds-most-powerful-ai-datacenter/
timeline__microsoft_fairwater_wisconsin__2026-03-31,1,prediction,https://blogs.microsoft.com/on-the-issues/2025/09/18/made-in-wisconsin-the-worlds-most-powerful-ai-datacenter/
timeline__microsoft_fairwater_wisconsin__2027-02-04,1,said,https://www.wpr.org/news/microsoft-pauses-construction-on-parts-of-mount-pleasant-site-again
timeline__microsoft_fairwater_wisconsin__2027-02-04,2,expected,https://local.microsoft.com/blog/mount-pleasant-datacenter-project-update/
timeline__microsoft_fairwater_wisconsin__2027-02-04,3,planning,https://cdn.misoenergy.org/NEW%20LOAD%20ANNOUNCEMENTS%20IN%20MISO%20REGIONS%2012062024684954.pdf
timeline__openai_stargate_abilene__2025-06-28,1,is not due,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025000156
timeline__openai_stargate_abilene__2025-09-26,1,Crusoe's impact report,https://cdn.prod.website-files.com/6855c1aa175582ee23e0aa19/68710273a71bb7c11049ba28_Crusoe_Impact_Report_2024.pdf#page=19
timeline__openai_stargate_abilene__2026-04-01,1,end date,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025014756
timeline__openai_stargate_abilene__2026-07-01,1,Building 8,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025019022
timeline__openai_stargate_abilene__2026-07-01,2,news,https://www.enr.com/articles/61133-project-team-pushes-limits-on-abilene-data-center-job
timeline__openai_stargate_uae__2026-12-01,1,1,https://khaznadatacenters.com/press-release/khazna-expands-infrastructure-to-accelerate-uaes-leadership-in-artificial-intelligence/
timeline__openai_stargate_uae__2026-12-01,2,2,https://khaznadatacenters.com/press-release/khazna-announces-the-uaes-first-ai-optimized-data-center-and-the-largest-in-its-portfolio-powering-the-nations-drive-toward-ai-leadership/
