org,model_key,model_name,short_label,release_date,source_url,source_title,selection_reason
openai,openai:gpt-4,GPT-4,GPT-4,2023-03-14,https://openai.com/index/gpt-4-research/,GPT-4,Frontier GPT release
openai,openai:gpt-4-turbo,GPT-4 Turbo,4 Turbo,2023-11-06,https://openai.com/index/new-models-and-developer-products-announced-at-devday/,New models and developer products announced at DevDay,Strongest model in DevDay round
openai,openai:gpt-4o,GPT-4o,4o,2024-05-13,https://openai.com/index/hello-gpt-4o/,Hello GPT-4o,Flagship multimodal release
openai,openai:o1-preview,OpenAI o1-preview,o1-preview,2024-09-12,https://openai.com/index/introducing-openai-o1-preview/,Introducing OpenAI o1-preview,Best model in initial o1 round
openai,openai:o1,OpenAI o1,o1,2024-12-05,https://openai.com/index/introducing-chatgpt-pro/,Introducing ChatGPT Pro,Stable o1 launch in ChatGPT Pro
openai,openai:gpt-4.5,GPT-4.5,4.5,2025-02-27,https://openai.com/index/introducing-gpt-4-5/,Introducing GPT-4.5,Top non-reasoning model in release round
openai,openai:gpt-4.1,GPT-4.1,4.1,2025-04-14,https://openai.com/index/gpt-4-1/,Introducing GPT-4.1 in the API,Best model in GPT-4.1 round
openai,openai:o3,OpenAI o3,o3,2025-04-16,https://openai.com/index/introducing-o3-and-o4-mini/,Introducing OpenAI o3 and o4-mini,Best model in o3 round
openai,openai:gpt-5,GPT-5,5,2025-08-07,https://openai.com/index/introducing-gpt-5-for-developers/,Introducing GPT-5 for developers,Frontier GPT release
openai,openai:gpt-5.1,GPT-5.1,5.1,2025-11-13,https://developers.openai.com/api/docs/changelog,Changelog | OpenAI API,Best model in GPT-5.1 round
openai,openai:gpt-5.2,GPT-5.2,5.2,2025-12-11,https://developers.openai.com/api/docs/changelog,Changelog | OpenAI API,Best model in GPT-5.2 round
openai,openai:gpt-5.4,GPT-5.4,5.4,2026-03-05,https://openai.com/index/introducing-gpt-5-4/,Introducing GPT-5.4,Frontier GPT release
anthropic,anthropic:claude-2,Claude 2,Claude 2,2023-07-11,https://www.anthropic.com/news/claude-2,Claude 2,Major Claude release
anthropic,anthropic:claude-2.1,Claude 2.1,2.1,2023-11-21,https://www.anthropic.com/news/claude-2-1,Introducing Claude 2.1,Major Claude release
anthropic,anthropic:claude-3-opus,Claude 3 Opus,3 Opus,2024-03-04,https://www.anthropic.com/news/claude-3-family,Introducing the next generation of Claude,Strongest model in Claude 3 family launch
anthropic,anthropic:claude-3.5-sonnet,Claude 3.5 Sonnet,3.5 Sonnet,2024-06-21,https://www.anthropic.com/news/claude-3-5-sonnet,Claude 3.5 Sonnet,Strongest model in June 2024 round
anthropic,anthropic:claude-3.5-sonnet-new,Claude 3.5 Sonnet (new),3.5 Sonnet+,2024-10-22,https://www.anthropic.com/news/3-5-models-and-computer-use,Introducing computer use, a new Claude 3.5 Sonnet, and Claude 3.5 Haiku,Upgraded flagship in October 2024 round
anthropic,anthropic:claude-3.7-sonnet,Claude 3.7 Sonnet,3.7 Sonnet,2025-02-24,https://www.anthropic.com/news/claude-3-7-sonnet,Claude 3.7 Sonnet and Claude Code,Flagship release
anthropic,anthropic:claude-opus-4,Claude Opus 4,Opus 4,2025-05-22,https://www.anthropic.com/news/claude-4,Introducing Claude 4,Strongest model in Claude 4 round
anthropic,anthropic:claude-opus-4.1,Claude Opus 4.1,Opus 4.1,2025-08-05,https://www.anthropic.com/news/claude-opus-4-1,Claude Opus 4.1,Frontier Opus refresh
anthropic,anthropic:claude-sonnet-4.5,Claude Sonnet 4.5,Sonnet 4.5,2025-09-29,https://www.anthropic.com/news/claude-sonnet-4-5,Introducing Claude Sonnet 4.5,Best model in September 2025 round
anthropic,anthropic:claude-opus-4.5,Claude Opus 4.5,Opus 4.5,2025-11-24,https://www.anthropic.com/news/claude-opus-4-5,Introducing Claude Opus 4.5,Frontier Opus refresh
anthropic,anthropic:claude-opus-4.6,Claude Opus 4.6,Opus 4.6,2026-02-05,https://www.anthropic.com/news/claude-opus-4-6,Introducing Claude Opus 4.6,Strongest model in February 2026 round
