data_center_id,data_center,source_kind,source_index,source_title,source_url
dc__amazon_madison_mega_site,Amazon Madison Mega Site,calculations_sheet,,Calculations sheet,https://docs.google.com/spreadsheets/d/10asD982gArQ0CQTVo_v331kEx_vDnwhWAusaYo1zsto/edit?usp=sharing
dc__amazon_madison_mega_site,Amazon Madison Mega Site,selected_source,1,Air Construction Permit,https://drive.google.com/file/d/1lhSF8TBA7fNWsN4Onj-nfL7X_-BN573r/view?usp=sharing
dc__amazon_madison_mega_site,Amazon Madison Mega Site,selected_source,2,Backup diesel generator referenced in the permit,https://www.cat.com/en_US/products/new/power-systems/electric-power/diesel-generator-sets/117341.html
dc__amazon_madison_mega_site,Amazon Madison Mega Site,selected_source,3,New York Times article on Project Rainier,https://www.nytimes.com/2025/06/24/technology/amazon-ai-data-centers.html
dc__amazon_madison_mega_site,Amazon Madison Mega Site,selected_source,4,SemiAnalysis article with imagery of Canton they have labeled as being an Amazon-Anthropic collaboration,https://newsletter.semianalysis.com/p/amazons-ai-resurgence-aws-anthropics-multi-gigawatt-trainium-expansion
dc__amazon_ridgeland,Amazon Ridgeland,calculations_sheet,,Calculations sheet,https://docs.google.com/spreadsheets/d/1WWWmkFubzXYb2RY9PZsF4BtrpmbmdcSJtVTw1kcJxVs/edit?usp=sharing
dc__amazon_ridgeland,Amazon Ridgeland,selected_source,1,Air Construction Permit,https://drive.google.com/file/d/1dQ5Pxl7rQAHLvHoTYrpOX32WAolo46d7/view?usp=sharing
dc__amazon_ridgeland,Amazon Ridgeland,selected_source,2,Permit review document,https://drive.google.com/file/d/1myQ6BYqqzcfsWwv41tufHobvA8T3qo_d/view?usp=sharing
dc__amazon_ridgeland,Amazon Ridgeland,selected_source,3,Backup diesel generator referenced in the permit,https://www.cat.com/en_US/products/new/power-systems/electric-power/diesel-generator-sets/117341.html
dc__amazon_ridgeland,Amazon Ridgeland,selected_source,4,New York Times article on Project Rainier,https://www.nytimes.com/2025/06/24/technology/amazon-ai-data-centers.html
dc__anthropic_amazon_new_carlisle,Anthropic-Amazon New Carlisle,calculations_sheet,,Calculations sheet,https://docs.google.com/spreadsheets/d/1umU-KLAB_6A-lKRCdLuF7SPv74HlqKjDdfDor1bRGuY/edit?usp=sharing
dc__anthropic_amazon_new_carlisle,Anthropic-Amazon New Carlisle,selected_source,1,Air Construction Permit application for the northern portion,https://drive.google.com/file/d/1BKiTFNUk2KDaUaiHG7fz0KlkNSBTHzbb/view?usp=sharing
dc__anthropic_amazon_new_carlisle,Anthropic-Amazon New Carlisle,selected_source,2,Backup diesel generator referenced in the permit,https://www.cat.com/en_US/products/new/power-systems/electric-power/diesel-generator-sets/117341.html
dc__anthropic_amazon_new_carlisle,Anthropic-Amazon New Carlisle,selected_source,3,Announcement of Project Rainier coming online,https://www.aboutamazon.com/news/aws/aws-project-rainier-ai-trainium-chips-compute-cluster
dc__fluidstack_lake_mariner,Fluidstack Lake Mariner,calculations_sheet,,Calculations sheet,https://docs.google.com/spreadsheets/d/14qurnezCPHpRcYeAIBc8Y8UOiHDfTNR7hnI_jK9NR00/edit?usp=sharing
dc__fluidstack_lake_mariner,Fluidstack Lake Mariner,selected_source,1,Terawulf press release with details of Core42 lease for Buildings 1-2,https://investors.terawulf.com/news-events/press-releases/detail/99/terawulf-to-deliver-over-70-mw-of-data-center
dc__fluidstack_lake_mariner,Fluidstack Lake Mariner,selected_source,2,Terawulf press release with details and timeline for Buildings 1-5,https://investors.terawulf.com/news-events/press-releases/detail/132/terawulf-reports-fourth-quarter-and-full-year-2025-results
dc__fluidstack_lake_mariner,Fluidstack Lake Mariner,selected_source,3,DCD article suggesting that Fluidstack will deploy Google TPUs at Lake Mariner,https://www.datacenterdynamics.com/en/news/google-offers-its-tpus-to-ai-cloud-providers-report/
dc__fluidstack_lake_mariner,Fluidstack Lake Mariner,selected_source,4,"Announcement of Anthropic-Fluidstack partnership, including data center(s) in New York",https://www.anthropic.com/news/anthropic-invests-50-billion-in-american-ai-infrastructure
dc__microsoft_fairwater_atlanta,Microsoft Fairwater Atlanta,calculations_sheet,,Calculations sheet,https://docs.google.com/spreadsheets/d/1XeruHu2ES3UsSrsAU3HSMkk5zwzFOQzxQE9pQ_fuEUw/edit?usp=sharing
dc__microsoft_fairwater_atlanta,Microsoft Fairwater Atlanta,selected_source,1,2023 Air Permit application,https://drive.google.com/file/d/1p7aY9syz319IcEuyukgIIvzmhTNKRS6p/view?usp=sharing
dc__microsoft_fairwater_atlanta,Microsoft Fairwater Atlanta,selected_source,2,YouTube video with aerial views,https://www.youtube.com/watch?v=44eWesI-174
dc__microsoft_fairwater_atlanta,Microsoft Fairwater Atlanta,selected_source,3,Semianalysis presentation,https://youtu.be/hobvps-H38o?si=wsAcRtDFG4Df4_7z&t=901
dc__microsoft_fairwater_atlanta,Microsoft Fairwater Atlanta,selected_source,4,Bloomberg article,https://www.bloomberg.com/news/features/2024-12-08/georgia-s-blackstone-backed-qts-data-center-hits-resistance-over-ai-power-needs
dc__microsoft_fairwater_wisconsin,Microsoft Fairwater Wisconsin,calculations_sheet,,Calculations sheet,https://docs.google.com/spreadsheets/d/10bfo173cjvehaMqextiRGc95lBdPmtZbLDyNvbEN0N0/edit?usp=sharing
dc__microsoft_fairwater_wisconsin,Microsoft Fairwater Wisconsin,selected_source,1,Microsoft blog with engineering details,https://blogs.microsoft.com/blog/2025/09/18/inside-the-worlds-most-powerful-ai-datacenter/
dc__microsoft_fairwater_wisconsin,Microsoft Fairwater Wisconsin,selected_source,2,Microsoft blog with more general information,https://blogs.microsoft.com/on-the-issues/2025/09/18/made-in-wisconsin-the-worlds-most-powerful-ai-datacenter/
dc__microsoft_fairwater_wisconsin,Microsoft Fairwater Wisconsin,selected_source,3,Construction Permit Application for building 1,https://drive.google.com/file/d/1azyXnreQBuYEqX2oaSUgePDGCMneez5Z/view?usp=sharing
dc__microsoft_fairwater_wisconsin,Microsoft Fairwater Wisconsin,selected_source,4,Construction Permit Application for building 3 and 4,https://drive.google.com/file/d/1UXsNFoXCbstOK8upixx060-LFj8beHqp/view?usp=sharing
