month_end,company,total_gw,floor_gw,uplift_gw,estimate_basis,floor_basis,floor_event_count,floor_events,anchor_label,anchor_target_gw,anchor_note,pacing_interval,pacing_blend_weight
2023-01-31,Anthropic,0.0,0.0,0.0,synthetic_baseline,observed_site_change_month,0,,,,The monthly line starts from a synthetic zero baseline in January 2023 so the first anchored year-end point can be paced inside the year.,Synthetic January 2023 baseline -> 2023 year-end,0.14
2023-01-31,OpenAI,0.0,0.0,0.0,synthetic_baseline,observed_site_change_month,0,,,,The monthly line starts from a synthetic zero baseline in January 2023 so the first anchored year-end point can be paced inside the year.,Synthetic January 2023 baseline -> 2023 year-end,0.2326
2023-02-28,Anthropic,0.001863,0.0,0.001863,paced_month,carried_floor,0,,,,,Synthetic January 2023 baseline -> 2023 year-end,0.14
2023-02-28,OpenAI,0.003575,0.0,0.003575,paced_month,carried_floor,0,,,,,Synthetic January 2023 baseline -> 2023 year-end,0.2326
2023-03-31,Anthropic,0.006972,0.0,0.006972,paced_month,carried_floor,0,,,,,Synthetic January 2023 baseline -> 2023 year-end,0.14
2023-03-31,OpenAI,0.013376,0.0,0.013376,paced_month,carried_floor,0,,,,,Synthetic January 2023 baseline -> 2023 year-end,0.2326
2023-04-30,Anthropic,0.014606,0.0,0.014606,paced_month,carried_floor,0,,,,,Synthetic January 2023 baseline -> 2023 year-end,0.14
2023-04-30,OpenAI,0.074546,0.053,0.021546,paced_month,observed_site_change_month,1,Microsoft Goodyear +0.053 GW,,,,Synthetic January 2023 baseline -> 2023 year-end,0.2326
2023-05-31,Anthropic,0.024042,0.0,0.024042,paced_month,carried_floor,0,,,,,Synthetic January 2023 baseline -> 2023 year-end,0.14
2023-05-31,OpenAI,0.092649,0.053,0.039649,paced_month,carried_floor,0,,,,,Synthetic January 2023 baseline -> 2023 year-end,0.2326
2023-06-30,Anthropic,0.03456,0.0,0.03456,paced_month,carried_floor,0,,,,,Synthetic January 2023 baseline -> 2023 year-end,0.14
2023-06-30,OpenAI,0.112828,0.053,0.059828,paced_month,carried_floor,0,,,,,Synthetic January 2023 baseline -> 2023 year-end,0.2326
2023-07-31,Anthropic,0.04544,0.0,0.04544,paced_month,carried_floor,0,,,,,Synthetic January 2023 baseline -> 2023 year-end,0.14
2023-07-31,OpenAI,0.133698,0.053,0.080698,paced_month,carried_floor,0,,,,,Synthetic January 2023 baseline -> 2023 year-end,0.2326
2023-08-31,Anthropic,0.055958,0.0,0.055958,paced_month,carried_floor,0,,,,,Synthetic January 2023 baseline -> 2023 year-end,0.14
2023-08-31,OpenAI,0.153877,0.053,0.100877,paced_month,carried_floor,0,,,,,Synthetic January 2023 baseline -> 2023 year-end,0.2326
2023-09-30,Anthropic,0.065394,0.0,0.065394,paced_month,carried_floor,0,,,,,Synthetic January 2023 baseline -> 2023 year-end,0.14
2023-09-30,OpenAI,0.17198,0.053,0.11898,paced_month,carried_floor,0,,,,,Synthetic January 2023 baseline -> 2023 year-end,0.2326
2023-10-31,Anthropic,0.073028,0.0,0.073028,paced_month,carried_floor,0,,,,,Synthetic January 2023 baseline -> 2023 year-end,0.14
2023-10-31,OpenAI,0.186624,0.053,0.133624,paced_month,carried_floor,0,,,,,Synthetic January 2023 baseline -> 2023 year-end,0.2326
2023-11-30,Anthropic,0.078137,0.0,0.078137,paced_month,carried_floor,0,,,,,Synthetic January 2023 baseline -> 2023 year-end,0.14
2023-11-30,OpenAI,0.196425,0.053,0.143425,paced_month,carried_floor,0,,,,,Synthetic January 2023 baseline -> 2023 year-end,0.2326
2023-12-31,Anthropic,0.08,0.0,0.08,anchored_estimate,carried_floor,0,,2023 year-end,0.08,"OpenAI is from the company memo series. Anthropic is a triangulated range from Google continuity, TPU usage, and CMA evidence of Google/Amazon compute sourcing.",Synthetic January 2023 baseline -> 2023 year-end,0.14
