anchor_id,company,row_key,anchor_label,anchor_date,point_estimate_gw,chart_effective_anchor_gw,low_gw,base_gw,high_gw,site_floor_gw,point_minus_floor_gw,company_estimate_type,point_estimate_type,summary_note,assumption_ids
anchor__anthropic__synthetic_2023_01_31,Anthropic,synthetic_2023_01_31,Synthetic January 2023 baseline,2023-01-31,0.0,0.0,,,,0.0,0.0,synthetic_baseline,synthetic_baseline,Synthetic zero baseline used only to pace the first anchored 2023 year-end point inside the monthly chart.,A04;A05
anchor__anthropic__2023,Anthropic,2023,2023 year-end,2023-12-31,0.08,0.08,0.05,0.08,0.15,0.0,0.08,triangulated_range,historical_exact_or_internal_center_of_gravity,"OpenAI is from the company memo series. Anthropic is a triangulated range from Google continuity, TPU usage, and CMA evidence of Google/Amazon compute sourcing.",A05
anchor__anthropic__2024,Anthropic,2024,2024 year-end,2024-12-31,0.18,0.18,0.1,0.18,0.3,0.0,0.18,triangulated_range,historical_exact_or_internal_center_of_gravity,"Anthropic 2024 is explicitly not zero. The public estimate comes from AWS primary-training-partner evidence and the December 2024 Rainier >5x statement, constrained by later Rainier site scale.",A05
anchor__anthropic__2025,Anthropic,2025,2025 year-end,2025-12-31,1.3,1.3,1.092,1.3,1.6,1.092,0.208,floor_plus_platform_uplift_range,historical_exact_or_internal_center_of_gravity,Anthropic year-end 2025 visible floor is 1.092 GW; public AWS and Google platform evidence imply actual compute access likely exceeded that floor.,A05
anchor__anthropic__2026_current,Anthropic,2026_current,March 2026 current,2026-03-31,1.6,1.6,1.433,1.8,2.3,1.433,0.167,triangulated_range_above_site_floor,future_single_estimate_from_debated_range,Current 2026 ranges use the floor as a hard lower bound. OpenAI carries forward the official 1.9 GW 2025 company total as the clean minimum best-view anchor; Anthropic allows a partial Google uplift above the AWS-heavy visible floor.,A05;A06
anchor__anthropic__2026_year_end,Anthropic,2026_year_end,2026 year-end,2026-12-31,3.3,3.3,3.0,3.6,4.8,2.566,0.734,triangulated_range_with_floor_low,future_single_estimate_from_debated_range,Year-end 2026 ranges start from the heuristic site-backed lower bounds. OpenAI adds only selective non-floor site/provider lanes such as Norway and Cerebras; Anthropic adds a mostly separate Google platform on top of the tracked AWS-heavy floor.,A05;A06
anchor__anthropic__2027_year_end,Anthropic,2027_year_end,2027 year-end,2027-12-31,6.0,6.0,3.8,6.3,7.0,3.497,2.503,triangulated_range_with_floor_low,future_single_estimate_from_debated_range,Year-end 2027 ranges again start from the lower-bound floor. OpenAI remains sensitive to the full Wisconsin attribution; Anthropic now steps materially higher because the April 6 2026 Google/Broadcom announcement points to a much larger Google TPU lane starting in 2027.,A05;A06
anchor__anthropic__2028_year_end_floor,Anthropic,2028_year_end_floor,2028 year-end,2028-12-31,7.0,7.0,,,,3.497,3.503,heuristic_site_backed_lower_bound_only,conservative_forward_estimate_beyond_high_confidence_window,"Beyond 2027, the public floor stays incomplete. OpenAI remains a conservative rounded floor proxy, while Anthropic now sits well above its own 2028 5 GW training-run anchor because the April 2026 Google/Broadcom update implies a larger continuing Google lane.",A05;A07
anchor__anthropic__2029_year_end_floor,Anthropic,2029_year_end_floor,2029 year-end,2029-12-31,7.6,7.6,,,,3.497,4.103,heuristic_site_backed_lower_bound_only,conservative_forward_estimate_beyond_high_confidence_window,"2029 remains overlap-heavy, but a decline would be nonsensical given the higher 2028 anchor and continued River Bend, Google, and Microsoft-linked ramps. Anthropic therefore steps up again above the revised 2028 anchor.",A05;A07
anchor__openai__synthetic_2023_01_31,OpenAI,synthetic_2023_01_31,Synthetic January 2023 baseline,2023-01-31,0.0,0.0,,,,0.0,0.0,synthetic_baseline,synthetic_baseline,Synthetic zero baseline used only to pace the first anchored 2023 year-end point inside the monthly chart.,A04;A05
anchor__openai__2023,OpenAI,2023,2023 year-end,2023-12-31,0.2,0.2,0.2,0.2,0.2,0.053,0.147,official_exact_self_reported_available_compute,historical_exact_or_internal_center_of_gravity,"OpenAI is from the company memo series. Anthropic is a triangulated range from Google continuity, TPU usage, and CMA evidence of Google/Amazon compute sourcing.",A05
anchor__openai__2024,OpenAI,2024,2024 year-end,2024-12-31,0.6,0.6,0.6,0.6,0.6,0.053,0.547,official_exact_self_reported_available_compute,historical_exact_or_internal_center_of_gravity,"Anthropic 2024 is explicitly not zero. The public estimate comes from AWS primary-training-partner evidence and the December 2024 Rainier >5x statement, constrained by later Rainier site scale.",A05
anchor__openai__2025,OpenAI,2025,2025 year-end,2025-12-31,1.9,1.9,1.9,1.9,1.9,0.991,0.909,official_exact_self_reported_available_compute,historical_exact_or_internal_center_of_gravity,Anthropic year-end 2025 visible floor is 1.092 GW; public AWS and Google platform evidence imply actual compute access likely exceeded that floor.,A05
anchor__openai__2026_current,OpenAI,2026_current,March 2026 current,2026-03-31,2.0,2.0,1.9,2.1,2.4,1.546,0.454,triangulated_range_above_site_floor,future_single_estimate_from_debated_range,Current 2026 ranges use the floor as a hard lower bound. OpenAI carries forward the official 1.9 GW 2025 company total as the clean minimum best-view anchor; Anthropic allows a partial Google uplift above the AWS-heavy visible floor.,A05;A06
anchor__openai__2026_year_end,OpenAI,2026_year_end,2026 year-end,2026-12-31,3.6,3.6,3.137,3.8,4.4,3.137,0.463,triangulated_range_with_floor_low,future_single_estimate_from_debated_range,Year-end 2026 ranges start from the heuristic site-backed lower bounds. OpenAI adds only selective non-floor site/provider lanes such as Norway and Cerebras; Anthropic adds a mostly separate Google platform on top of the tracked AWS-heavy floor.,A05;A06
anchor__openai__2027_year_end,OpenAI,2027_year_end,2027 year-end,2027-12-31,6.2,6.2,6.106,7.0,8.0,6.106,0.094,triangulated_range_with_floor_low,future_single_estimate_from_debated_range,Year-end 2027 ranges again start from the lower-bound floor. OpenAI remains sensitive to the full Wisconsin attribution; Anthropic now steps materially higher because the April 6 2026 Google/Broadcom announcement points to a much larger Google TPU lane starting in 2027.,A05;A06
anchor__openai__2028_year_end_floor,OpenAI,2028_year_end_floor,2028 year-end,2028-12-31,7.2,7.226,,,,7.226,-0.026,heuristic_site_backed_lower_bound_only,conservative_forward_estimate_beyond_high_confidence_window,"Beyond 2027, the public floor stays incomplete. OpenAI remains a conservative rounded floor proxy, while Anthropic now sits well above its own 2028 5 GW training-run anchor because the April 2026 Google/Broadcom update implies a larger continuing Google lane.",A05;A07
anchor__openai__2029_year_end_floor,OpenAI,2029_year_end_floor,2029 year-end,2029-12-31,9.0,9.0,,,,8.99,0.01,heuristic_site_backed_lower_bound_only,conservative_forward_estimate_beyond_high_confidence_window,"2029 remains overlap-heavy, but a decline would be nonsensical given the higher 2028 anchor and continued River Bend, Google, and Microsoft-linked ramps. Anthropic therefore steps up again above the revised 2028 anchor.",A05;A07
