company,model_key,model_name,short_label,display_label,release_date,estimated_training_start_date,training_lag_months,source_url,source_title
OpenAI,openai:gpt-4,GPT-4,GPT-4,GPT-4,2023-03-14,2022-09-14,6,https://openai.com/index/gpt-4-research/,GPT-4
Anthropic,anthropic:claude-2,Claude 2,Claude 2,C2,2023-07-11,2023-01-11,6,https://www.anthropic.com/news/claude-2,Claude 2
OpenAI,openai:gpt-4-turbo,GPT-4 Turbo,4 Turbo,GPT-4T,2023-11-06,2023-05-06,6,https://openai.com/index/new-models-and-developer-products-announced-at-devday/,New models and developer products announced at DevDay
Anthropic,anthropic:claude-2.1,Claude 2.1,2.1,2.1,2023-11-21,2023-05-21,6,https://www.anthropic.com/news/claude-2-1,Introducing Claude 2.1
Anthropic,anthropic:claude-3-opus,Claude 3 Opus,3 Opus,3O,2024-03-04,2023-09-04,6,https://www.anthropic.com/news/claude-3-family,Introducing the next generation of Claude
OpenAI,openai:gpt-4o,GPT-4o,4o,GPT-4o,2024-05-13,2023-11-13,6,https://openai.com/index/hello-gpt-4o/,Hello GPT-4o
Anthropic,anthropic:claude-3.5-sonnet,Claude 3.5 Sonnet,3.5 Sonnet,3.5S,2024-06-21,2023-12-21,6,https://www.anthropic.com/news/claude-3-5-sonnet,Claude 3.5 Sonnet
OpenAI,openai:o1-preview,OpenAI o1-preview,o1-preview,o1p,2024-09-12,2024-03-12,6,https://openai.com/index/introducing-openai-o1-preview/,Introducing OpenAI o1-preview
Anthropic,anthropic:claude-3.5-sonnet-new,Claude 3.5 Sonnet (new),3.5 Sonnet+,3.5S+,2024-10-22,2024-04-22,6,https://www.anthropic.com/news/3-5-models-and-computer-use,Introducing computer use
OpenAI,openai:o1,OpenAI o1,o1,o1,2024-12-05,2024-06-05,6,https://openai.com/index/introducing-chatgpt-pro/,Introducing ChatGPT Pro
Anthropic,anthropic:claude-3.7-sonnet,Claude 3.7 Sonnet,3.7 Sonnet,3.7S,2025-02-24,2024-08-24,6,https://www.anthropic.com/news/claude-3-7-sonnet,Claude 3.7 Sonnet and Claude Code
OpenAI,openai:gpt-4.5,GPT-4.5,4.5,GPT-4.5,2025-02-27,2024-08-27,6,https://openai.com/index/introducing-gpt-4-5/,Introducing GPT-4.5
OpenAI,openai:gpt-4.1,GPT-4.1,4.1,GPT-4.1,2025-04-14,2024-10-14,6,https://openai.com/index/gpt-4-1/,Introducing GPT-4.1 in the API
OpenAI,openai:o3,OpenAI o3,o3,o3,2025-04-16,2024-10-16,6,https://openai.com/index/introducing-o3-and-o4-mini/,Introducing OpenAI o3 and o4-mini
Anthropic,anthropic:claude-opus-4,Claude Opus 4,Opus 4,O4,2025-05-22,2024-11-22,6,https://www.anthropic.com/news/claude-4,Introducing Claude 4
Anthropic,anthropic:claude-opus-4.1,Claude Opus 4.1,Opus 4.1,O4.1,2025-08-05,2025-02-05,6,https://www.anthropic.com/news/claude-opus-4-1,Claude Opus 4.1
OpenAI,openai:gpt-5,GPT-5,5,GPT-5,2025-08-07,2025-02-07,6,https://openai.com/index/introducing-gpt-5-for-developers/,Introducing GPT-5 for developers
Anthropic,anthropic:claude-sonnet-4.5,Claude Sonnet 4.5,Sonnet 4.5,S4.5,2025-09-29,2025-03-29,6,https://www.anthropic.com/news/claude-sonnet-4-5,Introducing Claude Sonnet 4.5
OpenAI,openai:gpt-5.1,GPT-5.1,5.1,GPT-5.1,2025-11-13,2025-05-13,6,https://developers.openai.com/api/docs/changelog,Changelog | OpenAI API
Anthropic,anthropic:claude-opus-4.5,Claude Opus 4.5,Opus 4.5,O4.5,2025-11-24,2025-05-24,6,https://www.anthropic.com/news/claude-opus-4-5,Introducing Claude Opus 4.5
OpenAI,openai:gpt-5.2,GPT-5.2,5.2,GPT-5.2,2025-12-11,2025-06-11,6,https://developers.openai.com/api/docs/changelog,Changelog | OpenAI API
Anthropic,anthropic:claude-opus-4.6,Claude Opus 4.6,Opus 4.6,O4.6,2026-02-05,2025-08-05,6,https://www.anthropic.com/news/claude-opus-4-6,Introducing Claude Opus 4.6
OpenAI,openai:gpt-5.4,GPT-5.4,5.4,GPT-5.4,2026-03-05,2025-09-05,6,https://openai.com/index/introducing-gpt-5-4/,Introducing GPT-5.4
